                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.51266,                0.33048,                0.97833,                0.97192,                 0.9841,                0.98258,                0.85201,                0.57643,                0.29227,                  1.026,               0.007195,               0.007195,               0.007195
                     36,                0.50132,                0.33251,                0.97546,                0.97809,                0.98229,                0.97956,                0.85187,                0.56586,                0.27996,                 1.0071,              0.0071125,              0.0071125,              0.0071125
                     37,                 0.5193,                0.33146,                0.98706,                0.95078,                0.96339,                0.98035,                0.83355,                0.67301,                0.33125,                 1.0773,                0.00703,                0.00703,                0.00703
                     38,                0.50995,                0.33332,                0.97311,                0.97294,                0.97938,                 0.9795,                0.84887,                0.58002,                0.28798,                 1.0011,              0.0069475,              0.0069475,              0.0069475
                     39,                0.50601,                0.32469,                0.97451,                0.97314,                0.97938,                0.98158,                0.85319,                 0.5717,                0.27446,                 1.0164,               0.006865,               0.006865,               0.006865
                     40,                0.50142,                0.31854,                0.97304,                0.96622,                0.97938,                0.97818,                0.85997,                0.54125,                0.26944,                0.98603,              0.0067825,              0.0067825,              0.0067825
                     41,                0.48817,                0.31428,                0.96529,                0.98081,                0.97898,                0.98167,                0.86364,                0.54514,                 0.2688,                0.99447,                 0.0067,                 0.0067,                 0.0067
                     42,                 0.4964,                0.31703,                0.98026,                0.97269,                0.98349,                0.98267,                0.85769,                0.54066,                0.25635,                0.98892,              0.0066175,              0.0066175,              0.0066175
                     43,                0.49551,                0.31772,                0.97176,                0.96631,                0.97938,                 0.9822,                0.86621,                0.54216,                0.28526,                0.99455,               0.006535,               0.006535,               0.006535
                     44,                0.47994,                0.29963,                0.96846,                0.97497,                0.98108,                0.98262,                 0.8662,                0.54061,                0.24797,                 0.9892,              0.0064525,              0.0064525,              0.0064525
                     45,                0.47689,                0.30297,                0.96575,                0.96371,                0.98443,                0.97913,                0.85106,                0.54917,                0.26294,                0.99924,                0.00637,                0.00637,                0.00637
                     46,                0.48905,                0.30354,                0.97401,                0.96772,                0.98085,                0.97956,                0.85957,                0.54104,                0.28012,                0.98843,              0.0062875,              0.0062875,              0.0062875
                     47,                0.48717,                0.30402,                0.96799,                0.96695,                0.97861,                0.97898,                0.86014,                0.55283,                0.25889,                0.99673,               0.006205,               0.006205,               0.006205
                     48,                0.46816,                0.29966,                 0.9644,                0.97044,                0.98306,                0.97898,                0.84857,                 0.5573,                0.28514,                0.99847,              0.0061225,              0.0061225,              0.0061225
                     49,                 0.4783,                0.31307,                0.96086,                0.96223,                0.98153,                0.98066,                 0.8697,                 0.5561,                0.26559,                0.98965,                0.00604,                0.00604,                0.00604
                     50,                 0.4709,                0.29542,                0.96538,                0.96626,                0.97938,                  0.983,                0.87296,                0.54986,                0.25387,                0.99679,              0.0059575,              0.0059575,              0.0059575
                     51,                0.47145,                0.29169,                0.96255,                0.97165,                0.97938,                0.98313,                0.86767,                0.57432,                0.26095,                 1.0077,               0.005875,               0.005875,               0.005875
                     52,                0.46347,                0.29005,                0.96014,                0.96471,                0.97938,                 0.9804,                0.85663,                 0.5593,                0.26718,                0.99619,              0.0057925,              0.0057925,              0.0057925
                     53,                   0.47,                 0.2994,                0.96631,                0.96956,                0.97707,                0.98053,                0.85887,                0.54942,                 0.2614,                0.99162,                0.00571,                0.00571,                0.00571
                     54,                 0.4577,                0.29037,                0.95753,                0.95239,                0.97938,                0.97833,                0.85994,                0.57602,                0.26264,                 1.0047,              0.0056275,              0.0056275,              0.0056275
                     55,                0.45747,                 0.2907,                0.95419,                0.97675,                0.97685,                0.97655,                0.85947,                0.54712,                0.25839,                0.98255,               0.005545,               0.005545,               0.005545
                     56,                0.45187,                0.28479,                0.95849,                0.97406,                 0.9793,                0.98089,                0.86787,                0.52516,                0.25323,                0.97565,              0.0054625,              0.0054625,              0.0054625
                     57,                 0.4511,                0.28424,                0.94915,                0.97963,                0.97533,                0.98074,                0.85909,                0.53805,                0.24978,                0.99206,                0.00538,                0.00538,                0.00538
                     58,                0.45992,                0.28302,                0.95391,                0.97358,                0.97938,                0.98119,                0.86327,                 0.5785,                0.25455,                 1.0142,              0.0052975,              0.0052975,              0.0052975
                     59,                0.44821,                0.28367,                0.95144,                0.97476,                0.98114,                0.97922,                0.86075,                0.56769,                 0.2625,                0.99294,               0.005215,               0.005215,               0.005215
                     60,                0.43697,                0.27404,                0.94748,                0.96909,                0.97815,                0.98051,                0.86139,                0.55404,                0.25764,                 1.0056,              0.0051325,              0.0051325,              0.0051325
                     61,                0.45184,                0.28279,                0.95683,                 0.9731,                0.97482,                 0.9811,                0.86665,                0.56419,                0.28904,                0.99296,                0.00505,                0.00505,                0.00505
                     62,                0.44413,                0.28414,                0.95633,                0.96699,                0.97803,                0.97979,                0.86315,                0.56029,                0.25503,                0.99045,              0.0049675,              0.0049675,              0.0049675
                     63,                0.44636,                0.27418,                0.95181,                0.97622,                0.96688,                0.98065,                0.86774,                0.54629,                0.24601,                0.98965,               0.004885,               0.004885,               0.004885
                     64,                0.43418,                0.27079,                0.94516,                0.97035,                0.97073,                0.98175,                 0.8638,                0.55572,                0.24313,                0.99676,              0.0048025,              0.0048025,              0.0048025
                     65,                0.43062,                0.26394,                0.94893,                0.97582,                0.96688,                0.97966,                0.86776,                0.56264,                 0.2498,                0.99496,                0.00472,                0.00472,                0.00472
                     66,                0.43638,                 0.2804,                0.94529,                0.96807,                0.97938,                 0.9801,                0.86257,                0.56091,                0.26263,                 1.0004,              0.0046375,              0.0046375,              0.0046375
                     67,                0.43432,                0.27444,                  0.944,                 0.9726,                0.98266,                0.98055,                0.86209,                0.55967,                0.26461,                0.99753,               0.004555,               0.004555,               0.004555
                     68,                0.42548,                0.26317,                0.94029,                0.98045,                0.97175,                0.98105,                0.86201,                0.56824,                0.26129,                0.99711,              0.0044725,              0.0044725,              0.0044725
                     69,                0.43502,                0.26941,                0.94702,                0.98014,                0.97856,                 0.9803,                0.86187,                0.56031,                0.25865,                0.99965,                0.00439,                0.00439,                0.00439
                     70,                 0.4189,                0.26776,                0.94244,                0.97525,                0.97443,                0.98085,                0.86559,                0.56249,                0.26236,                0.99274,              0.0043075,              0.0043075,              0.0043075
                     71,                0.42615,                0.27475,                 0.9455,                 0.9636,                0.97938,                0.98007,                0.87011,                0.54763,                 0.2444,                0.98746,               0.004225,               0.004225,               0.004225
                     72,                0.41881,                0.26483,                0.94307,                0.97177,                0.97938,                 0.9796,                0.86085,                 0.5509,                0.25448,                0.99951,              0.0041425,              0.0041425,              0.0041425
                     73,                0.41488,                0.25524,                0.93989,                0.97779,                0.97938,                0.98548,                0.87009,                0.56386,                0.25018,                0.98996,                0.00406,                0.00406,                0.00406
                     74,                0.41505,                 0.2674,                0.94329,                0.97844,                0.97821,                0.98103,                0.87235,                0.54713,                0.24075,                0.98345,              0.0039775,              0.0039775,              0.0039775
                     75,                0.41334,                0.25787,                0.93947,                0.96112,                0.97938,                 0.9807,                0.86862,                 0.5626,                 0.2527,                0.98932,               0.003895,               0.003895,               0.003895
                     76,                0.40824,                0.26151,                0.93953,                 0.9701,                0.97326,                0.98227,                 0.8632,                0.55475,                 0.2485,                  0.989,              0.0038125,              0.0038125,              0.0038125
                     77,                0.40217,                0.24944,                0.93105,                 0.9741,                0.98142,                0.98054,                0.86521,                0.56994,                0.25568,                0.99889,                0.00373,                0.00373,                0.00373
                     78,                0.40807,                0.25291,                0.93851,                0.97357,                0.96705,                0.98468,                0.87919,                0.54318,                0.24418,                0.98646,              0.0036475,              0.0036475,              0.0036475
                     79,                0.41158,                0.25465,                0.93694,                0.96946,                0.97938,                0.98147,                0.86819,                0.55789,                0.25196,                0.99378,               0.003565,               0.003565,               0.003565
                     80,                0.40815,                0.24914,                0.94107,                0.97362,                0.97938,                0.98157,                0.87051,                0.55019,                0.24666,                0.98775,              0.0034825,              0.0034825,              0.0034825
                     81,                0.40075,                 0.2541,                 0.9399,                0.97151,                0.97938,                0.97941,                 0.8744,                0.55368,                0.25198,                0.98785,                 0.0034,                 0.0034,                 0.0034
                     82,                0.39112,                0.25212,                0.92511,                0.97501,                0.97629,                0.98411,                0.87508,                0.54476,                0.25024,                0.98695,              0.0033175,              0.0033175,              0.0033175
                     83,                0.39665,                0.25222,                0.93244,                0.97482,                0.97259,                0.98246,                0.87822,                0.56323,                0.24955,                0.99014,               0.003235,               0.003235,               0.003235
                     84,                0.39424,                0.24832,                0.92976,                 0.9747,                0.97432,                0.98207,                0.86791,                0.55534,                0.24499,                 0.9852,              0.0031525,              0.0031525,              0.0031525
                     85,                0.39569,                0.24713,                0.93536,                0.97339,                0.97826,                0.98321,                0.86902,                0.53464,                0.24039,                0.98304,                0.00307,                0.00307,                0.00307
